ID,Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
1,Acura,Compact,2.4,4,AM8,Z,9.9,7,8.6,199
2,Acura,SUV: Small,3.5,6,AS9,Z,12.2,9,10.8,252
3,Acura,SUV: Small,3.5,6,AS9,Z,12.2,9.5,11,258
4,Acura,SUV: Small,3,6,AM7,Z,9.1,9,9,210
5,Acura,Two-seater,3.5,6,AM9,Z,11.1,10.8,11,261
6,Acura,SUV: Small,2,4,AS10,Z,11,8.6,9.9,232
7,Acura,SUV: Small,2,4,AS10,Z,11.3,9.1,10.3,242
8,Acura,Mid-size,3.5,6,AM7,Z,8.4,8.2,8.4,196
9,Acura,Compact,2.4,4,AM8,Z,10,7.1,8.7,205
10,Acura,Compact,2.4,4,AM8,Z,10.2,7.4,8.9,209
11,Acura,Compact,3.5,6,AS9,Z,11.4,7.7,9.8,228
12,Acura,Compact,3.5,6,AS9,Z,12,8.2,10.3,240
13,Alfa Romeo,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,197
14,Alfa Romeo,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,197
15,Alfa Romeo,Mid-size,2,4,A8,Z,10,7.2,8.7,205
16,Alfa Romeo,Mid-size,2,4,A8,Z,10.5,7.7,9.2,217
17,Alfa Romeo,Mid-size,2.9,6,A8,Z,13.8,9.6,11.9,280
18,Alfa Romeo,SUV: Small,2,4,A8,Z,10.3,8.1,9.3,218
19,Alfa Romeo,SUV: Small,2,4,A8,Z,10.8,8.3,9.6,226
20,Alfa Romeo,SUV: Small,2.9,6,A8,Z,14.1,10.4,12.4,292
21,Aston Martin,Minicompact,4,8,A8,Z,13,9.8,11.5,271
22,Aston Martin,Minicompact,5.2,12,A8,Z,15.5,10.6,13.3,312
23,Aston Martin,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,324
24,Aston Martin,Subcompact,6,12,A8,Z,16.7,10.9,14.1,332
25,Aston Martin,Minicompact,6,12,A8,Z,17.5,11.4,14.7,346
26,Aston Martin,Two-seater,4,8,A8,Z,12.7,9.4,11.2,264
27,Audi,Subcompact,2,4,AM7,X,9.1,6.8,8.1,188
28,Audi,Subcompact,2,4,AM7,X,10.9,7.9,9.6,225
29,Audi,Subcompact,2,4,AM7,X,10.7,7.9,9.5,221
30,Audi,Compact,2,4,AM7,Z,8.6,6.9,7.8,182
31,Audi,Compact,2,4,AM7,Z,10,7,8.7,204
32,Audi,Station wagon: Small,2,4,AM7,Z,10.7,8,9.5,221
33,Audi,Subcompact,2,4,AM7,Z,10,7,8.7,204
