ID,Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
1,Acura,ILX,Compact,2.40,4,AM8,Z,9.90,7.00,8.60,199.00
2,Acura,MDX SH-AWD,SUV: Small,3.50,6,AS9,Z,12.20,9.00,10.80,252.00
3,Acura,MDX SH-AWD A-SPEC,SUV: Small,3.50,6,AS9,Z,12.20,9.50,11.00,258.00
4,Acura,MDX Hybrid AWD,SUV: Small,3.00,6,AM7,Z,9.10,9.00,9.00,210.00
5,Acura,NSX,Two-seater,3.50,6,AM9,Z,11.10,10.80,11.00,261.00
6,Acura,RDX AWD,SUV: Small,2.00,4,AS10,Z,11.00,8.60,9.90,232.00
7,Acura,RDX AWD A-SPEC,SUV: Small,2.00,4,AS10,Z,11.30,9.10,10.30,242.00
8,Acura,RLX Hybrid,Mid-size,3.50,6,AM7,Z,8.40,8.20,8.40,196.00
9,Acura,TLX,Compact,2.40,4,AM8,Z,10.00,7.10,8.70,205.00
10,Acura,TLX A-SPEC,Compact,2.40,4,AM8,Z,10.20,7.40,8.90,209.00
11,Acura,TLX SH-AWD,Compact,3.50,6,AS9,Z,11.40,7.70,9.80,228.00
12,Acura,TLX SH-AWD A-SPEC,Compact,3.50,6,AS9,Z,12.00,8.20,10.30,240.00
13,Alfa Romeo,4C Coupe,Two-seater,1.80,4,AM6,Z,9.70,6.90,8.40,197.00
14,Alfa Romeo,4C Spider,Two-seater,1.80,4,AM6,Z,9.70,6.90,8.40,197.00
15,Alfa Romeo,Giulia,Mid-size,2.00,4,A8,Z,10.00,7.20,8.70,205.00
16,Alfa Romeo,Giulia AWD,Mid-size,2.00,4,A8,Z,10.50,7.70,9.20,217.00
17,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.90,6,A8,Z,13.80,9.60,11.90,280.00
18,Alfa Romeo,Stelvio,SUV: Small,2.00,4,A8,Z,10.30,8.10,9.30,218.00
19,Alfa Romeo,Stelvio AWD,SUV: Small,2.00,4,A8,Z,10.80,8.30,9.60,226.00
20,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.90,6,A8,Z,14.10,10.40,12.40,292.00
21,Aston Martin,DB11 V8,Minicompact,4.00,8,A8,Z,13.00,9.80,11.50,271.00
22,Aston Martin,DB11 AMR,Minicompact,5.20,12,A8,Z,15.50,10.60,13.30,312.00
23,Aston Martin,DBS Superleggera,Minicompact,5.20,12,A8,Z,16.40,10.70,13.80,324.00
24,Aston Martin,Rapide AMR,Subcompact,6.00,12,A8,Z,16.70,10.90,14.10,332.00
25,Aston Martin,Vanquish Zagato,Minicompact,6.00,12,A8,Z,17.50,11.40,14.70,346.00
26,Aston Martin,Vantage V8,Two-seater,4.00,8,A8,Z,12.70,9.40,11.20,264.00
27,Audi,A3,Subcompact,2.00,4,AM7,X,9.10,6.80,8.10,188.00
28,Audi,A3 quattro,Subcompact,2.00,4,AM7,X,10.90,7.90,9.60,225.00
29,Audi,A3 Cabriolet quattro,Subcompact,2.00,4,AM7,X,10.70,7.90,9.50,221.00
30,Audi,A4,Compact,2.00,4,AM7,Z,8.60,6.90,7.80,182.00
31,Audi,A4 quattro,Compact,2.00,4,AM7,Z,10.00,7.00,8.70,204.00
32,Audi,A4 allroad quattro,Station wagon: Small,2.00,4,AM7,Z,10.70,8.00,9.50,221.00
33,Audi,A5 quattro,Subcompact,2.00,4,AM7,Z,10.00,7.00,8.70,204.00
34,Audi,A5 Cabriolet quattro,Subcompact,2.00,4,AM7,Z,10.00,7.00,8.70,204.00
35,Audi,A5 Sportback quattro,Mid-size,2.00,4,AM7,Z,10.00,7.00,8.70,204.00
36,Audi,A6 quattro,Mid-size,3.00,6,AM7,Z,10.70,8.20,9.60,224.00
